#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Streptomycin 3''-O-adenylyltransferase (EC 2.7.7.47)	1	1	1	1	1	1
Copper resistance protein B	4	3	1	1	3.5	1
Copper resistance protein D	1	1	2	0	1	1
Cu(I)-responsive transcriptional regulator	2	0	1	1	1	1
Mercuric resistance operon regulatory protein	1	2	1	1	1.5	1
Organomercurial lyase (EC 4.99.1.2)	0	1	1	1	0.5	1
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	4	3	1	1	3.5	1
Chromate resistance protein ChrB	1	0	1	1	0.5	1
Sigma-fimbriae usher protein	1	3	1	1	2	1
Streptothricin acetyltransferase, Streptomyces lavendulae type	1	0	2	0	0.5	1
Acetone carboxylase, alpha subunit (EC 6.4.1.6)	1	0	1	0	0.5	0.5
Valine--pyruvate aminotransferase (EC 2.6.1.66)	3	2	0	1	2.5	0.5
Arginine decarboxylase (EC 4.1.1.19)	0	0	0	1	0	0.5
Ornithine aminotransferase (EC 2.6.1.13)	2	3	0	1	2.5	0.5
Succinylarginine dihydrolase (EC 3.5.3.23)	2	0	0	1	1	0.5
N-acetylornithine carbamoyltransferase (EC 2.1.3.9)	3	2	0	1	2.5	0.5
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	8	7	0	1	7.5	0.5
5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase.	0	0	1	0	0	0.5
Putative 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase oxidoreductase protein (EC 1.2.1.60)	0	0	1	0	0	0.5
Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)	2	1	0	1	1.5	0.5
Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	0	0	0	1	0	0.5
Transcriptional regulator BkdR of isoleucine and valine catabolism operon	0	0	0	1	0	0.5
Threonine dehydratase biosynthetic (EC 4.3.1.19)	4	6	0	1	5	0.5
Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)	1	1	0	1	1	0.5
Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25)	1	1	1	0	1	0.5
2-keto-4-pentenoate hydratase (EC 4.2.1.80)	1	4	0	1	2.5	0.5
Acetaldehyde dehydrogenase (EC 1.2.1.10)	2	2	1	0	2	0.5
Proline/sodium symporter PutP (TC 2.A.21.2.1)	2	1	0	1	1.5	0.5
Glutamine synthetase (EC 6.3.1.2)	0	0	1	0	0	0.5
L-serine dehydratase, beta subunit (EC 4.3.1.17)	1	2	0	1	1.5	0.5
Glycine cleavage system transcriptional antiactivator GcvR	2	0	1	0	1	0.5
3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)	0	0	1	0	0	0.5
Butyrate kinase (EC 2.7.2.7)	0	0	0	1	0	0.5
phosphotransbutyrylase (EC 2.3.1.19)	0	1	0	1	0.5	0.5
Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1)	0	1	1	0	0.5	0.5
Homocysteine S-methyltransferase (EC 2.1.1.10)	0	1	1	0	0.5	0.5
Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	1	0	0	1	0.5	0.5
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	2	2	1	0	2	0.5
Probable two-component sensor, near polyamine transporter	1	0	1	0	0.5	0.5
Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)	1	1	1	0	1	0.5
D-amino-acid oxidase (EC 1.4.3.3)	0	0	0	1	0	0.5
Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	1	0	1	0	0.5	0.5
Predicted functional analog of homoserine kinase (EC 2.7.1.-)	0	0	0	1	0	0.5
L-allo-threonine aldolase (EC 2.1.2.1)	0	2	0	1	1	0.5
3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	1	2	1	0	1.5	0.5
4-oxalocrotonate decarboxylase (EC 4.1.1.77)	0	0	0	1	0	0.5
Urea ABC transporter, ATPase protein UrtD	1	1	0	1	1	0.5
Urea ABC transporter, ATPase protein UrtE	1	1	1	0	1	0.5
Urea ABC transporter, permease protein UrtB	1	1	0	1	1	0.5
Urea carboxylase-related ABC transporter, ATPase protein	1	0	1	0	0.5	0.5
Urea carboxylase-related amino acid permease	1	1	1	0	1	0.5
Urease accessory protein UreF	0	0	0	1	0	0.5
Urease gamma subunit (EC 3.5.1.5)	2	0	1	0	1	0.5
L-arabinose transport system permease protein (TC 3.A.1.2.2)	0	1	1	0	0.5	0.5
2-Methylcitrate dehydratase AcnD	0	0	1	0	0	0.5
2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	0	0	0	1	0	0.5
2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	0	0	0	1	0	0.5
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	1	1	0	1	1	0.5
Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)	0	0	1	0	0	0.5
Acetoacetate decarboxylase (EC 4.1.1.4)	1	0	0	1	0.5	0.5
NADH dehydrogenase, subunit 5	0	1	1	0	0.5	0.5
Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	0	1	1	0	0.5	0.5
RuBisCO operon transcriptional regulator	1	1	1	0	1	0.5
6-phospho-beta-glucosidase (EC 3.2.1.86)	0	0	0	1	0	0.5
Beta-glucanase precursor (EC 3.2.1.73)	1	1	0	1	1	0.5
Cellobiose phosphorylase (EC 2.4.1.-)	0	0	1	0	0	0.5
Glucokinase, ROK family (EC 2.7.1.2)	1	1	1	0	1	0.5
Glucose ABC transporter, permease component	0	0	1	0	0	0.5
NAD(P)-dependent glyceraldehyde 3-phosphate dehydrogenase archaeal (EC 1.2.1.59)	0	0	0	1	0	0.5
Phosphoribulokinase (EC 2.7.1.19)	2	1	1	0	1.5	0.5
Transketolase, C-terminal section (EC 2.2.1.1)	1	2	0	1	1.5	0.5
Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)	3	2	1	0	2.5	0.5
N-acetyl glucosamine transporter, NagP	5	6	0	1	5.5	0.5
N-Acetyl-D-glucosamine ABC transport system, permease protein 2	0	0	1	0	0	0.5
N-acetylglucosamine kinase of eukaryotic type (EC 2.7.1.59)	1	1	0	1	1	0.5
D-galactarate dehydratase (EC 4.2.1.42)	0	0	1	0	0	0.5
Glucarate dehydratase (EC 4.2.1.40)	1	0	0	1	0.5	0.5
5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	0	0	0	1	0	0.5
D-mannonate oxidoreductase (EC 1.1.1.57)	2	2	1	0	2	0.5
Oligogalacturonate lyase (EC 4.2.2.6)	2	2	1	0	2	0.5
Uronate isomerase (EC 5.3.1.12)	4	4	0	1	4	0.5
Uronate isomerase, family BH0493 (EC 5.3.1.12)	0	0	1	0	0	0.5
Gluconate 2-dehydrogenase (EC 1.1.99.3), membrane-bound, flavoprotein	0	1	0	1	0.5	0.5
Gluconate 2-dehydrogenase (EC 1.1.99.3), membrane-bound, gamma subunit	0	1	1	0	0.5	0.5
Predicted regulator of ribose utilization, LacI family	0	0	1	0	0	0.5
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	0	0	0	1	0	0.5
Putative deoxyribose-specific ABC transporter, ATP-binding protein	0	0	1	0	0	0.5
Putative deoxyribose-specific ABC transporter, permease protein	0	1	0	1	0.5	0.5
Phosphoenolpyruvate-dihydroxyacetone phosphotransferase operon regulatory protein DhaR	0	0	0	1	0	0.5
Polyphosphate glucokinase (EC 2.7.1.63)	3	2	1	0	2.5	0.5
Predicted erythritol ABC transporter 1, substrate-binding component	0	1	0	1	0.5	0.5
Acetaldehyde dehydrogenase, ethanolamine utilization cluster	0	1	1	0	0.5	0.5
Formate efflux transporter (TC 2.A.44 family)	0	1	1	0	0.5	0.5
Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)	1	1	0	1	1	0.5
Multiple sugar ABC transporter, membrane-spanning permease protein MsmG	1	2	1	0	1.5	0.5
Sucrose-6-phosphate hydrolase (EC 3.2.1.B3)	5	11	0	1	8	0.5
Fructose ABC transporter, substrate-binding component FrcB	1	0	0	1	0.5	0.5
Hydroxypyruvate reductase (EC 1.1.1.81)	1	1	1	0	1	0.5
Glycerol uptake facilitator protein	1	3	0	1	2	0.5
Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)	0	0	0	1	0	0.5
Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	0	0	0	1	0	0.5
Alpha-glucosidase, family 31 of glycosyl hydrolases, COG1501	2	1	0	1	1.5	0.5
Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	0	0	1	0	0	0.5
Malate synthase G (EC 2.3.3.9)	5	2	0	1	3.5	0.5
Sensor histidine protein kinase UhpB, glucose-6-phosphate specific (EC 2.7.13.3)	0	0	0	1	0	0.5
5-keto-2-deoxygluconokinase (EC 2.7.1.92)	1	3	1	0	2	0.5
Glyceraldehyde-3-phosphate ketol-isomerase (EC 5.3.1.1)	0	0	1	0	0	0.5
Inositol transport system sugar-binding protein	1	2	0	1	1.5	0.5
Arabinose operon regulatory protein	0	0	0	1	0	0.5
L-arabinose 1-dehydrogenase (EC 1.1.1.46)	1	1	0	1	1	0.5
L-arabinose-specific 1-epimerase (mutarotase)	0	1	1	0	0.5	0.5
Alpha-L-fucosidase (EC 3.2.1.51)	3	3	1	0	3	0.5
L-fuconate dehydratase (EC 4.2.1.68)	0	0	1	0	0	0.5
Alfa-L-rhamnosidase (EC 3.2.1.40)	3	5	0	1	4	0.5
L-rhamnose mutarotase	0	1	1	0	0.5	0.5
Predicted L-rhamnose ABC transporter, transmembrane component 2	0	0	0	1	0	0.5
Predicted lactaldehyde dehydrogenase (EC 1.2.1.22)	1	1	0	1	1	0.5
Predicted rhamnose oligosaccharide ABC transport system, permease component	0	0	0	1	0	0.5
Predicted rhamnose oligosaccharide ABC transport system, permease component 2	1	0	1	0	0.5	0.5
Rhamnulokinase (EC 2.7.1.5)	0	0	1	0	0	0.5
Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE	2	3	1	0	2.5	0.5
Predicted L-lactate dehydrogenase, hypothetical protein subunit SO1518	1	2	0	1	1.5	0.5
Predicted L-lactate dehydrogenase, hypothetical protein subunit YkgG	1	1	0	1	1	0.5
Predicted Lactate-responsive regulator, IclR family	0	1	0	1	0.5	0.5
Beta-galactosidase (EC 3.2.1.23), LacA family	0	0	1	0	0	0.5
Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	1	0	0	1	0.5	0.5
Transcriptional regulator of maltose utilization, LacI family	1	1	1	0	1	0.5
Zinc-type alcohol dehydrogenase YcjQ	0	0	1	0	0	0.5
Alpha-1,2-mannosidase	14	18	0	1	16	0.5
Beta-mannosidase (EC 3.2.1.25)	0	1	0	1	0.5	0.5
Mannoside ABC transport system, sugar-binding protein	1	0	1	0	0.5	0.5
CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)	0	0	1	0	0	0.5
CoB--CoM heterodisulfide reductase subunit B (EC 1.8.98.1)	0	0	1	0	0	0.5
CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	0	1	1	0	0.5	0.5
Formylmethanofuran--tetrahydromethanopterin N-formyltransferase (EC 2.3.1.101)	0	0	0	1	0	0.5
Propionate--CoA ligase (EC 6.2.1.17)	4	3	1	0	3.5	0.5
Predicted exported glycosyl hydrolase family 31 protein	1	2	1	0	1.5	0.5
Tagatose-6-phosphate kinase AgaZ (EC 2.7.1.144)	1	0	1	0	0.5	0.5
B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	0	0	0	1	0	0.5
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	0	0	0	1	0	0.5
Oxaloacetate decarboxylase beta chain (EC 4.1.1.3)	1	1	1	0	1	0.5
Pyruvate carboxylase subunit B (biotin-containing) (EC 6.4.1.1)	0	0	0	1	0	0.5
Acetyl-CoA synthetase (ADP-forming) beta chain (EC 6.2.1.13)	0	0	1	0	0	0.5
Glycine reductase component B alpha subunit (EC 1.21.4.2)	0	0	0	1	0	0.5
Putative membrane protein, clustering with ActP	1	0	0	1	0.5	0.5
cytosolic long-chain acyl-CoA thioester hydrolase family protein	1	2	0	1	1.5	0.5
Acetyl xylan esterase (EC 3.1.1.41)	0	0	1	0	0	0.5
Xylose ABC transporter, substrate-binding component	1	0	1	0	0.5	0.5
Xylose oligosaccharides ABC transporter, permease protein 1	1	0	0	1	0.5	0.5
Xylose-responsive transcription regulator, ROK family	0	0	1	0	0	0.5
Xylulose kinase (EC 2.7.1.17)	6	8	0	1	7	0.5
Trehalase (EC 3.2.1.28)	3	2	1	0	2.5	0.5
Trehalose phosphorylase (EC 2.4.1.64)	1	0	0	1	0.5	0.5
Predicted trehalose permease, MFS family, FucP subfamily	0	0	0	1	0	0.5
Trehalose-regulated TonB-dependent outer membrane receptor	3	1	0	1	2	0.5
TcuB: works with TcuA to oxidize tricarballylate to cis-aconitate	0	0	0	1	0	0.5
Uncharacterized protein YphG, TPR-domain containing	3	1	0	1	2	0.5
Cell division protein FtsL	0	0	0	1	0	0.5
Cell division topological specificity factor MinE	0	0	0	1	0	0.5
Septum site-determining protein MinC	0	1	0	1	0.5	0.5
Circadian phase modifier	0	0	1	0	0	0.5
Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	2	1	1	0	1.5	0.5
D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	1	1	0	1	1	0.5
Capsular polysaccharide biosynthesis/export periplasmic protein WcbC	0	0	0	1	0	0.5
N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)	1	1	0	1	1	0.5
dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL	0	0	1	0	0	0.5
Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)	0	3	0	1	1.5	0.5
Lipid-A-disaccharide synthase (EC 2.4.1.182)	2	3	0	1	2.5	0.5
Legionaminic acid cytidylyltransferase (EC 2.7.7.43)	0	0	0	1	0	0.5
Sensor protein PhoQ (EC 2.7.13.3)	1	1	1	0	1	0.5
Outer membrane chaperone Skp (OmpH) precursor	0	0	0	1	0	0.5
Lipopolysaccharide heptosyltransferase I (EC 2.4.1.-)	0	1	1	0	0.5	0.5
Putative two-domain glycosyltransferase	2	2	0	1	2	0.5
UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG (EC 2.4.1.-)	0	1	1	0	0.5	0.5
Two-component system response regulator OmpR	0	1	0	1	0.5	0.5
Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C	1	1	0	1	1	0.5
Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)	0	0	0	1	0	0.5
Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	0	0	1	0	0	0.5
N-acetylmuramic acid 6-phosphate etherase	1	1	1	0	1	0.5
Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	0	0	1	0	0	0.5
CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)	0	0	1	0	0	0.5
Putative sugar isomerase involved in processing of exogenous sialic acid	0	0	1	0	0	0.5
TRAP-type transport system, large permease component, predicted N-acetylneuraminate transporter	0	1	0	1	0.5	0.5
N-acetylmannosaminyltransferase (EC 2.4.1.187)	1	1	0	1	1	0.5
Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	3	3	0	1	3	0.5
Acetophenone carboxylase subunit Apc3 (EC 6.4.1.8)	0	0	0	1	0	0.5
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	1	1	0	1	1	0.5
Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	0	0	0	1	0	0.5
Cobyrinic acid A,C-diamide synthase	1	2	1	0	1.5	0.5
Predicted adenosylcobinamide-phosphate guanylyltransferase CobY (EC 2.7.7.62)	0	0	1	0	0	0.5
Mg-protoporphyrin O-methyltransferase (EC 2.1.1.11)	0	0	0	1	0	0.5
Putative chaperon-like protein Ycf39 for quinone binding in Photosystem II	0	0	1	0	0	0.5
Predicted thiamin transporter PnuT	0	0	0	1	0	0.5
Rhodanese-like domain required for thiamine synthesis	1	1	0	1	1	0.5
Thiamin ABC transporter, substrate-binding component	0	0	0	1	0	0.5
Thiamin ABC transporter, transmembrane component	0	0	0	1	0	0.5
Thiazole biosynthetic enzyme Thi4	0	0	1	0	0	0.5
Pantothenate kinase (EC 2.7.1.33)	1	2	0	1	1.5	0.5
Dephospho-CoA kinase archaeal, predicted (EC 2.7.1.24)	0	0	1	0	0	0.5
Cobalamin biosynthesis protein BluB	0	0	0	1	0	0.5
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1	0	0	1	0	0	0.5
Sulfopyruvate decarboxylase - alpha subunit (EC 4.1.1.79)	0	0	0	1	0	0.5
Coenzyme PQQ synthesis protein E	0	1	0	1	0.5	0.5
Glutamyl-tRNA reductase (EC 1.2.1.70)	2	3	0	1	2.5	0.5
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12)	3	3	1	0	3	0.5
Related to Dihydropteroate synthase	0	0	0	1	0	0.5
FIG000605: protein co-occurring with transport systems (COG1739)	3	3	0	1	3	0.5
HemX protein, negative effector of steady-state concentration of glutamyl-tRNA reductase	0	0	1	0	0	0.5
oxidoreductase of aldo/keto reductase family, subgroup 1	1	1	0	1	1	0.5
Putative cytochrome C-type biogenesis protein	2	1	0	1	1.5	0.5
Alternative dihydrofolate reductase 3	1	0	0	1	0.5	0.5
Dihydroneopterin triphosphate pyrophosphohydolase type 2	0	0	0	1	0	0.5
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	1	0	0	1	0.5	0.5
Menaquinone via futalosine step 2	0	0	1	0	0	0.5
CTP:molybdopterin cytidylyltransferase	0	2	0	1	1	0.5
Molybdenum cofactor biosynthesis protein MoaD	1	0	0	1	0.5	0.5
Molybdenum cofactor biosynthesis protein MoaE	3	2	0	1	2.5	0.5
Molybdopterin biosynthesis Mog protein, molybdochelatase	1	1	1	0	1	0.5
Molybdopterin-guanine dinucleotide biosynthesis protein MobA	2	1	0	1	1.5	0.5
Periplasmic molybdate-binding domain	0	1	1	0	0.5	0.5
Amidases related to nicotinamidase	1	4	1	0	2.5	0.5
4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	1	1	0	1	1	0.5
DUF1537 linked to pdxA	2	1	1	0	1.5	0.5
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	0	1	0	1	0.5	0.5
Microsomal dipeptidase (EC 3.4.13.19)	1	1	0	1	1	0.5
PdxA-like	1	1	0	1	1	0.5
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	0	1	0	1	0.5	0.5
Glutamate--cysteine ligase (EC 6.3.2.2), divergent, of Alpha- and Beta-proteobacteria type	0	0	0	1	0	0.5
Glutathione-dependent formaldehyde-activating enzyme (EC 4.4.1.22)	1	1	1	0	1	0.5
YgfY COG2938	0	0	0	1	0	0.5
Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	0	1	0	1	0.5	0.5
ATP-dependent nuclease, subunit B	0	0	1	0	0	0.5
CRISPR-associated protein Cas1	0	0	1	0	0	0.5
Exodeoxyribonuclease I (EC 3.1.11.1)	2	1	0	1	1.5	0.5
DNA recombination-dependent growth factor C	1	2	0	1	1.5	0.5
Exonuclease SbcC	1	2	0	1	1.5	0.5
MutS domain protein, family 6	0	0	1	0	0	0.5
Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	2	1	1	0	1.5	0.5
Error-prone repair protein UmuD	0	0	0	1	0	0.5
ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog	0	1	0	1	0.5	0.5
ATP-dependent DNA helicase UvrD/PcrA, proteobacterial paralog	0	1	0	1	0.5	0.5
Archaeal DNA polymerase II small subunit (EC 2.7.7.7)	0	0	0	1	0	0.5
DNA primase large subunit (EC 2.7.7.-)	0	0	0	1	0	0.5
Replication factor A (ssDNA-binding protein)	0	0	1	0	0	0.5
DNA-binding protein HU	0	0	0	1	0	0.5
DNA-binding protein HU-alpha	0	0	1	0	0	0.5
Arrested fork binding	1	1	1	0	1	0.5
DNA polymerase III chi subunit (EC 2.7.7.7)	3	1	0	1	2	0.5
Helicase loader DnaI	0	0	0	1	0	0.5
two-component response regulator	0	0	1	0	0	0.5
Ribosome modulation factor	1	0	1	0	0.5	0.5
RNA polymerase sporulation specific sigma factor SigH	0	0	1	0	0	0.5
Haloalkane dehalogenase-like protein	3	3	0	1	3	0.5
Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	0	1	1	0	0.5	0.5
Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)	0	0	0	1	0	0.5
Beta-carotene hydroxylase	2	2	1	0	2	0.5
Carotenoid cis-trans isomerase (EC 5.2.-.-)	0	1	1	0	0.5	0.5
Lycopene cyclase	1	1	0	1	1	0.5
Phytoene dehydrogenase (EC 1.14.99.-)	1	3	0	1	2	0.5
Phytoene desaturase, neurosporene or lycopene producing (EC 1.3.-.-)	1	1	1	0	1	0.5
Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	1	1	0	1	1	0.5
Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	0	1	0	1	0.5	0.5
Decaprenyl diphosphate synthase (EC 2.5.1.91)	0	0	0	1	0	0.5
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	3	2	1	0	2.5	0.5
Acyl carrier protein (ACP1)	2	1	1	0	1.5	0.5
FIG021862: membrane protein, exporter	1	0	1	0	0.5	0.5
Intracellular PHB depolymerase (EC 3.1.1.-)	0	1	1	0	0.5	0.5
FIG097052: Sugar transporter	0	0	0	1	0	0.5
Lysophospholipase (EC 3.1.1.5)	1	2	1	0	1.5	0.5
Ferric siderophore transport system, biopolymer transport protein ExbB	3	2	0	1	2.5	0.5
Ferrous iron transport permease EfeU	0	1	1	0	0.5	0.5
Pyoverdine synthetase PvdF, N5-hydroxyornithine formyltransferase	0	0	1	0	0	0.5
Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	1	0	0	1	0.5	0.5
Phosphonate ABC transporter permease protein phnE (TC 3.A.1.9.1)	0	0	1	0	0	0.5
Phosphonate ABC transporter permease protein phnE1 (TC 3.A.1.9.1)	0	1	1	0	0.5	0.5
Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	1	1	0	1	1	0.5
ABC-type tungstate transport system, ATP-binding protein	0	0	1	0	0	0.5
ABC transporter multidrug efflux pump, fused ATP-binding domains	1	2	0	1	1.5	0.5
Additional substrate-specific component NikN of nickel ECF transporter	0	0	0	1	0	0.5
ATPase component NikO of energizing module of nickel ECF transporter	0	0	1	0	0	0.5
Putative toxin component near putative ESAT-related proteins, repetitive	0	1	0	1	0.5	0.5
General secretion pathway protein C	1	1	0	1	1	0.5
General secretion pathway protein H	0	0	1	0	0	0.5
General secretion pathway protein I	1	1	0	1	1	0.5
General secretion pathway protein L	1	1	1	0	1	0.5
General secretion pathway protein N	0	0	1	0	0	0.5
Preprotein translocase subunit SecG (TC 3.A.5.1.1)	1	1	0	1	1	0.5
Predicted secretion system X pseudopilin PulG-like	1	0	1	0	0.5	0.5
Predicted secretion system X transmembrane protein 2	0	0	1	0	0	0.5
Di/tripeptide permease YjdL	0	0	1	0	0	0.5
Inner membrane protein forms channel for type IV secretion of T-DNA complex (VirB8)	0	0	0	1	0	0.5
Putative riboflavin transporter RibN homologue	4	3	0	1	3.5	0.5
Na(+) H(+) antiporter subunit C	2	1	1	0	1.5	0.5
Na(+) H(+) antiporter subunit F	0	0	1	0	0	0.5
Na(+) H(+) antiporter subunit G	0	2	0	1	1	0.5
Sigma-54 dependent transcriptional regulator	1	0	1	0	0.5	0.5
TonB system biopolymer transport component	1	1	1	0	1	0.5
HoxN/HupN/NixA family nickel/cobalt transporter	0	0	0	1	0	0.5
Zinc transporter, ZIP family	0	1	0	1	0.5	0.5
Type IV pilus biogenesis protein PilN	1	0	1	0	0.5	0.5
Type IV pilus biogenesis protein PilP	0	0	1	0	0	0.5
Flp pilus assembly protein CpaD	0	1	1	0	0.5	0.5
Flp pilus assembly protein TadD, contains TPR repeat	1	1	1	0	1	0.5
Flp pilus assembly protein, pilin Flp	1	3	1	0	2	0.5
Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)	1	1	1	0	1	0.5
Muconate cycloisomerase (EC 5.5.1.1)	2	2	1	0	2	0.5
Ring hydroxylating dioxygenase, alpha subunit (EC 1.14.12.13)	1	1	0	1	1	0.5
benzoate degradation ring-cleavage hydrolase	1	0	0	1	0.5	0.5
2,3-dihydroxybiphenyl 1,2-dioxygenase	1	0	1	0	0.5	0.5
Biphenyl dioxygenase alpha subunit (EC 1.14.12.18)	0	0	0	1	0	0.5
biphenyl-2,3-diol 1,2-dioxygenase III-related protein	0	0	0	1	0	0.5
Catechol 1,2-dioxygenase 1 (EC 1.13.11.1)	0	1	0	1	0.5	0.5
1,2-dihydroxynaphthalene dioxygenase	1	1	0	1	1	0.5
Protocatechuate 4,5-dioxygenase alpha chain (EC 1.13.11.8)	2	1	0	1	1.5	0.5
Beta-ketoadipyl CoA thiolase (EC 2.3.1.-)	0	0	1	0	0	0.5
4-cresol dehydrogenase [hydroxylating] cytochrome c subunit precursor	0	0	0	1	0	0.5
Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)	0	0	0	1	0	0.5
N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase MshB	0	0	0	1	0	0.5
YciL protein	2	2	1	0	2	0.5
Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family	1	2	0	1	1.5	0.5
Translation initiation factor SUI1-related protein	2	1	0	1	1.5	0.5
Allantoate amidohydrolase (EC 3.5.3.9)	0	0	1	0	0	0.5
Staphylococcus nuclease (SNase) domain	0	0	0	1	0	0.5
N-acylamino acid racemase	1	1	1	0	1	0.5
Chemotaxis protein CheV (EC 2.7.3.-)	3	3	1	0	3	0.5
GldJ	2	2	0	1	2	0.5
gliding motility protein GldF	2	0	0	1	1	0.5
twitching motility protein PilG	2	2	0	1	2	0.5
Flagellar synthesis regulator FleN	3	1	0	1	2	0.5
Flagellar basal-body rod protein FlgB	2	0	0	1	1	0.5
Flagellar basal-body rod protein FlgC	1	3	1	0	2	0.5
Flagellar basal-body rod protein FlgF	2	1	0	1	1.5	0.5
Flagellar biosynthesis protein FliP	1	1	0	1	1	0.5
Flagellar hook-associated protein FlgK	5	4	0	1	4.5	0.5
Flagellar hook-basal body complex protein FliE	2	1	0	1	1.5	0.5
Flagellar M-ring protein FliF	2	4	0	1	3	0.5
Flagellar P-ring protein FlgI	2	1	0	1	1.5	0.5
Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)	1	1	1	0	1	0.5
Flagellar sensor histidine kinase FleS	1	1	0	1	1	0.5
Flagellin protein FlaA	4	6	0	1	5	0.5
Glutamine amidotransferase, class-II	0	0	0	1	0	0.5
